country,medianIncome,meanIncome,gdpPerCapitaPPP,pop2021
Luxembourg,26321,31376,124590,634814
United Arab Emirates,24292,27017,70089,9991089
Norway,22684,25272,70005,5465630
Switzerland,21490,25787,72376,8715494
United States,19306,25332,65297,332915073
Canada,18652,22042,51668,38067903
Austria,18405,20718,60418,9043070
Sweden,17625,20193,56632,10160169
Denmark,17432,20304,62089,5813298
Netherlands,17154,19690,61285,17173099
Australia,17076,21329,53381,25788215
Iceland,17017,19300,60132,343353
Germany,16845,19730,57530,83900473
France,16372,19409,50992,65426179
Finland,16332,18742,53171,5548360
Belgium,16157,17917,56348,11632326
United Kingdom,14793,18133,49931,68207116
Malta,14543,16509,47578,442784
Ireland,14520,17938,89683,4982907
Japan,14255,17095,43593,126050804
Taiwan,13605,16355,0,23855010
Italy,13170,15547,45722,60367477
Cyprus,13053,15663,41254,1215584
South Korea,12507,14316,44011,51305186
Slovenia,11878,13056,42431,2078724
Spain,11786,13822,43495,46745216
Israel,10866,13271,42897,8789774
Estonia,10651,12540,39986,1325185
Czech Republic,10046,11394,44295,10724555
Poland,8885,10155,35165,37797005
Portugal,8439,10316,37918,10167925
Lithuania,8267,10479,40016,2689862
Slovakia,7991,8408,33515,5460721
Latvia,7971,9727,33020,1866942
Lebanon,7712,9091,15195,6769146
Hungary,7684,8613,34966,9634164
Uruguay,7533,9888,22515,3485151
Malaysia,7512,10200,29619,32776194
Croatia,7196,8008,31130,4081651
Greece,6936,8131,32506,10370744
Belarus,6507,7359,19997,9442862
Chile,6293,9304,27002,19212361
Panama,6254,9453,32850,4381579
Bosnia and Herzegovina,5925,7131,16288,3263466
Bulgaria,5696,7474,25312,6896663
Russia,5504,7275,29181,145912025
Costa Rica,5457,8440,21737,5139052
Maldives,5409,6435,20395,543617
Argentina,5319,6935,0,45605826
Seychelles,5314,8044,30516,98908
Turkey,5251,7267,28133,85042738
Romania,5206,5949,33339,19127774
Brazil,4559,7654,15299,213993437
Saint Lucia,4519,6946,16132,184400
Ukraine,4434,5010,13341,43466819
Serbia,4416,5252,19495,8697550
Iran,4360,5924,12937,85028759
Thailand,4356,5670,19276,69950850
Paraguay,4334,6373,13246,7219638
Montenegro,4193,5123,24035,628053
Dominican Republic,4060,5873,19227,10953703
North Macedonia,3857,4279,18107,2082658
Mauritius,3832,4969,23882,1273433
Peru,3678,4977,13416,33359418
Kazakhstan,3661,4313,27517,18994962
Bolivia,3631,4787,9110,11832940
Ecuador,3525,5046,11878,17888475
Tunisia,3366,4076,11231,11935766
Mexico,3315,4929,20944,130262216
Colombia,3259,5201,16012,51265844
Azerbaijan,3193,3851,15041,10223342
Jordan,3185,4025,10517,10269021
Vietnam,3149,3881,8397,98168833
Moldova,3133,3590,13626,4024019
El Salvador,3095,3989,9164,6518499
Jamaica,2899,4429,10193,2973463
Trinidad and Tobago,2868,3711,27334,1403375
Mongolia,2800,3409,12861,3329289
Tonga,2782,3677,6665,106760
Gabon,2779,3544,15611,2278825
Morocco,2716,3721,7826,37344795
Venezuela,2710,3741,17527,28704954
Nicaragua,2697,3913,5646,6702385
Algeria,2612,2996,12019,44616624
Albania,2578,3141,14648,2872933
Samoa,2537,3418,6795,200149
Fiji,2460,3261,14289,902906
Bhutan,2446,3189,12355,779898
Sri Lanka,2277,3162,13656,21497310
Georgia,2273,2814,15655,3979765
Armenia,2216,2810,14257,2968127
Tuvalu,2099,2802,4470,11931
Guatemala,2036,3103,9019,18249860
Guyana,2003,2729,13661,790326
Syria,1996,2606,0,18275702
Tajikistan,1994,2437,3529,9749627
Namibia,1962,4023,10063,2587344
Honduras,1959,3109,5981,10062991
Iraq,1951,2293,11362,41179350
Belize,1927,3246,7314,404914
Myanmar,1909,2296,5369,54806012
Kyrgyzstan,1892,2235,5485,6628356
Ghana,1779,2422,5652,31732129
Mauritania,1760,2094,5427,4775119
Suriname,1659,2593,17256,591800
South Africa,1624,4081,13034,60041994
Botswana,1596,2907,18552,2397241
Philippines,1581,2199,9302,111046913
Kiribati,1489,1858,2372,121392
Egypt,1485,1847,0,104258327
Micronesia,1413,1858,3547,116254
Djibouti,1403,1869,5779,1002187
Comoros,1401,2050,3194,888451
Pakistan,1399,1797,4898,225199937
Gambia,1383,1784,2321,2486945
Vanuatu,1379,1781,3292,314464
Sudan,1277,1592,4122,44909353
Cameroon,1245,1841,3803,27224265
Haiti,1162,1540,3034,11541685
Lesotho,1157,1659,2824,2159079
Nepal,1155,1428,3567,29674920
Yemen,1150,1503,3688,30490640
Bangladesh,1131,1414,4964,166303498
Eswatini,1097,2091,9003,1172362
Laos,1065,1389,8172,7379358
Solomon Islands,1028,1333,2780,703996
Ivory Coast,987,1358,5443,27053629
Timor-Leste,970,1147,3709,1343873
Zimbabwe,932,1429,2961,15092171
Ethiopia,907,1107,2319,117876227
Sao Tome and Principe,901,1620,4145,223368
Republic of the Congo,892,1375,3835,5657013
Chad,880,1182,1649,16914985
Papua New Guinea,876,1162,4547,9119010
Kenya,874,1197,4521,54985698
Senegal,844,1137,3545,17196301
Guinea,843,1036,2675,13497244
Nigeria,825,1021,5362,211400708
Uganda,804,1166,2284,47123531
South Sudan,793,1121,1234,11381378
Sierra Leone,765,1004,1794,8141343
Liberia,753,945,1491,5180203
Burkina Faso,748,1002,2274,21497096
Niger,738,937,1278,25130817
Turkmenistan,706,963,15206,6117924
Tanzania,702,992,2770,61498437
Benin,699,989,3432,12451040
Mali,689,861,2424,20855735
Togo,683,964,1667,8478250
Angola,665,1066,6965,33933610
Rwanda,621,925,2325,13276513
Uzbekistan,591,752,7308,33935763
Zambia,545,1045,3624,18920651
Mozambique,529,947,1338,32163047
Central African Republic,491,891,986,4919981
Guinea-Bissau,486,797,2077,2015494
Malawi,484,733,1106,19647684
Burundi,475,640,784,12255433
Madagascar,398,567,1719,28427328
DR Congo,395,548,1146,92377993
India,,1314,6996,1393409038
China,,4246,16829,1444216107